Artist1,Artist2,weight,isConnected
Anderson .Paak,Bruno Mars,2,True
Emeli Sandé,Taichi Mukai,0,False
Christina Aguilera,Ricky Martin,1,True
Anuel AA,Nicky Jam,1,True
MFS,SPARTA,1,True
Dua Lipa,Elton John,1,True
Aretha Franklin,George Michael,1,True
Lunis,Maren Morris,0,False
Krimsonn,Thomas Gold,1,True
Da Tweekaz,Matthew Steeper,1,True
Ghost,J. Davi$,0,False
D-Stroyer,MadeinTYO,0,False
RhymeTube,ZIN,1,True
Lil Keed,Matthew Steeper,0,False
MFS,P!nk,0,False
GhostDragon,Kodak Black,0,False
Billy J. Kramer,Taylor Swift,0,False
BJ The Chicago Kid,Ty Dolla $ign,1,True
EL3CTRXX,"Tyler, The Creator",0,False
Kosling,Thomas Gold,1,True
Lorde,SZA,1,True
Nao'ymt,OHTORA,1,True
Daniel Caesar,MIYACHI,0,False
John Barry,MFS,0,False
Polo G,サトウユウヤ,0,False
Billy Idol,Usher,0,False
KHEA,Lenny Tavárez,1,True
Salma Slims,Travis Barker,0,False
Ansel Elgort,Tom Jones,0,False
Rob Thomas,Robin Hannibal,0,False
Kendrick Lamar,Xillions,0,False
Macklemore & Ryan Lewis,Ryan Lewis,1,True
Quavo,Skippa Da Flippa,1,True
Coeus,The American Idiot Broadway Company,0,False
Céline Dion,Feid,0,False
DJ Khaled,Fabolous,0,False
Trippie Redd,XXXTENTACION,1,True
2 Chainz,B.o.B,1,True
Chris Brown,DaniLeigh,1,True
John Gallagher Jr.,Rebecca Naomi Jones,1,True
Lil Yachty,PnB Rock,1,True
Rebecca Naomi Jones,Skippa Da Flippa,0,False
Boosie Badazz,Shelley FKA DRAM,0,False
Barbara Dickson,Oh Wonder,0,False
Drake,WizKid,1,True
Raury,Ty Dolla $ign,1,True
Paula Abdul,benny blanco,0,False
Lil Gotit,Lil Keed,1,True
Mr. Ivex,Sefa,1,True
Rich Gang,Rich Homie Quan,1,True
BullySongs,EL3CTRXX,1,True
Brendon Urie,Roy Woods,0,False
Brendon Urie,Juice WRLD,1,True
Kevin Flum,Speaker Knockerz,1,True
Anuel AA,Becky G,1,True
Disclosure,Roy Woods,0,False
Kendrick Lamar,Rihanna,1,True
Naomi Wild,ODESZA,1,True
Hellblasterz,Marshmello,0,False
Ariana Grande,Usher,0,False
Dalex,KHEA,1,True
BoA,Electus,0,False
KHEA,Sech,1,True
John Barry,Trinidad James,0,False
6LACK,Khalid,1,True
Migos,kiki vivi lily,0,False
Drake,Ivy Adara,0,False
Code Black,Da Tweekaz,1,True
Snoop Dogg,Wiz Khalifa,1,True
Cory Gunz,Jonny Rose,0,False
6LACK,Quavo,0,False
Kevu,Luca Testa,1,True
Macklemore & Ryan Lewis,Speaker Knockerz,0,False
Annie Lennox,Jeremih,0,False
Duke,Shirley Bassey,0,False
BullySongs,Kevu,0,False
Hardwell,The Chainsmokers,1,True
Lasso the Sun,WildVibes,1,True
Moses Sumney,Robin Hannibal,1,True
DROELOE,The Dakotas,0,False
Caslow,Exede,2,True
Jordyn Oran,KRYSTO,1,True
Lloyd,Young Money,1,True
David Guetta,Domeno,0,False
Chase Rice,笠井 紀美子,0,False
Doja Cat,The Weeknd,1,True
